Fund;Fund Type;Country;World Bank Region;Income Classification;Name of Project;Theme/Objective;Sector (OECD);DAC 5 Code;Sub-Sector;Key words;Implementing Agency;Recipient Institution;Recipient Institution type;Approved year;End year;Concessional loan;Grant;Guarantee;Equity;Amount of Funding Approved (USD millions); Disbursed (USD millions);Least Developed Country;Small Island Developing Nation;Fragile or Conflict Affected State
Special Climate Change Fund (SCCF);Multilateral;Egypt;Middle East & North Africa;Lower middle income;Adaptation to Climate Change in the Nile Delta Through Integrated Coastal Zone Management;Adaptation;Water Supply & Sanitation;DAC140_;Water sector policy and administrative management;;UNDP;Ministry of Water Resources and Irrigation, Coastal Research Institute, The Egyptian Shore Protection Authority;;2009;2014;;4;;;4;4;;;
Adaptation for Smallholder Agriculture Programme (ASAP);Multilateral;El Salvador;Latin America & Caribbean;Lower middle income;Rural Adelante - Programa Nacional de TransformaciÛn EconÛmica Rural;Adaptation;Agriculture;DAC311_;Agricultural development;;Governments;;;2015;;;5;;;5;4,76;;;
Adaptation Fund (AF);Multilateral;El Salvador;Latin America & Caribbean;Lower middle income;Enhancing climate resilience of rural communities and ecosystems in Ahuachap·n -Sur, El Salvador;Adaptation;Other Multisector;DAC430_;Rural development;;UNDP;Ministry of Environment and Natural Resources (MARN) ;;2019;;;8,48;;;8,48;3,56;;;
Forest Carbon Partnership Facility - Readiness Fund (FCPF-RF);Multilateral;El Salvador;Latin America & Caribbean;Lower middle income;Readiness Fund Grant;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;;IBRD;Ministry of Environment and Natural Resources;;2014;;;6,3;;;6,3;6,21;;;
Global Environment Facility (GEF4);Multilateral;El Salvador;Latin America & Caribbean;Lower middle income;Energy Efficiency in Public Buildings (EEPB);Mitigation - General;Energy;DAC230_;Energy generation, distribution and efficiency - general;;UNDP;;;2009;;;0,98;;;0,98;0,98;;;
Global Environment Facility (GEF5);Multilateral;El Salvador;Latin America & Caribbean;Lower middle income;Third National Communication (TNC) and Biennial Update Report to the UNFCCC;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental research;;UNDP;;;2013;;;0,85;;;0,85;0,85;;;
Global Environment Facility (GEF6);Multilateral;El Salvador;Latin America & Caribbean;Lower middle income;San Salvador Low-emission Urban Development Path;Multiple Foci;General environment protection;DAC410_;General environment protection;low-emissions, urban;UNDP;Ministry of Environment and National Resources (MARN),acting as leader partner together with the Ministry of Public Works, Transport, Housing and Urban Development (MOP), Council of Majors of the Metropolitan Area of San Salvador municipalities (COAMSS), and the National Energy Council (CNE);;2017;;;2,42;;;2,42;;;;
Green Climate Fund (GCF-1);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;(FP125) Strengthening the resilience of smallholder agriculture to climate change-induced water insecurity in the Central Highlands and South-Central Coast regions of Vietnam;Adaptation;Agriculture;DAC311_;Agricultural development;Smallholders, water provision;UNDP;Ministry of Planning and Investment;;2020;2026;;30,21;;;30,21;12,45;;;
Green Climate Fund (GCF-1);Multilateral;Cuba;Latin America & Caribbean;Upper middle income;(FP126) Increased climate resilience of rural households and communities through the rehabilitation of production landscapes in selected localities of the Republic of Cuba (IRES);Multiple foci;Agriculture;DAC311_;Agricultural development;food security, ecosystems;FAO;Ministry of Science, Technology and Environment;;2020;2027;;38,21;;;38,21;15,65;;SIDS - Caribbean;
Global Environment Facility (GEF8);Multilateral;Egypt;Middle East & North Africa;Lower middle income;Development of Egyptís First Biennial Transparency Report (1BTR), and a combined Second Biennial Transparency and Fifth National Communication Report to the UNFCCC (2BTR+5NC);Multiple Foci;General Environment Protection;DAC410_;Environmental policy and administrative management;transparency, UNFCCC, Paris agreement;UNDP;Egyptian Environmental Affairs Agency (EEAA)UNDP;;2024;;;1,23;;;1,23;;;;
Global Environment Facility (GEF8);Multilateral;El Salvador;Latin America & Caribbean;Lower middle income;Fourth National Communication, First and Second Biennial Transparency Report (4NC&1BTR + 2BTR);Multiple Foci;General Environment Protection;DAC410_;Environmental policy and administrative management;transparency, UNFCCC;UNDP;Unidad de Cambio Clim·tico, Ministerio de Medio Ambiente y Recursos Naturales - MARN (Climate Change, Ministry of Environment and Natural Resources);;2023;;;1,23;;;1,23;;;;
Global Environment Facility (GEF7);Multilateral;El Salvador;Latin America & Caribbean;Lower middle income;Blended finance facility for climate resilience in coffee and cacao value chains: CC-Blend;Adaptation;Business & Other Services;DAC250_;Business development services;Cacao and coffee value chains;UNEP;"Banco de Fomento Agropecuario (BFA) (Ministry of Agriculture and Livestock, El Salvador); and appropriate regional partners to be assessed during project preparation)";;2020;;;1,09;;;1,09;;;;
Central African Forest Initiative (CAFI);Multi Donor Regional;Equatorial Guinea;Sub-Saharan Africa;Upper middle income;00103594 - Development of Equatorial Guineaís REDD+ National Investment Plan;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;Deforestation, degradation;FAO;Ministry of Economy, planning and investment and Ministry of Forest and Environment;Government;2016;2020;;1,09;;;1,09;1,09;;;
Congo Basin Forest Fund (CBFF);Multi Donor Regional;Equatorial Guinea;Sub-Saharan Africa;Upper middle income;GESTION DURABLE DES …COSYST»MES DE HAUTE VALEUR SOCIO-…CONOM;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;; RESEAU DES ONG DE CAMPO-MAíAN ET ENVIRONS (ROCAME);AMIS DE LA NATURE ET DU DEVELOPPEMENT DE;;;;;0,6;;;0,6;0,45;;;
Global Environment Facility (GEF5);Multilateral;Equatorial Guinea;Sub-Saharan Africa;Upper middle income;Sustainable Energy for All: Promoting Small Scale Hydropower in Bioko and Other Clean Energy Solutions for Remote Islands;Mitigation - General;Energy generation, renewable sources;DAC232_;Power generation/renewable sources;;UNDP;MPM, MMIE, SEGESA;;2013;;;3,5;;;3,5;;;;
Global Environment Facility (GEF6);Multilateral;Equatorial Guinea;Sub-Saharan Africa;Upper middle income;Promoting Community-Based Forestry for Climate Change Mitigation and Sustainable Livelihoods in Equatorial Guinea;Mitigation - REDD;Forestry;DAC312_;Forestry;forestry, community-based forestry;FAO;Ministry of Agriculture, Livestock, Forests and Environment;;2018;;;5,33;;;5,33;;;;
Global Environment Facility (GEF7);Multilateral;Equatorial Guinea;Sub-Saharan Africa;Upper middle income;Enhancing Equatorial Guineaís institutional and technical capacity in the agriculture, forestry and other land-use sector for enhanced transparency under the Paris Agreement;Mitigation - General;Agriculture, Forestry, Fishing;DAC310_;;;FAO;Ministry of Forests and Environment;;2019;;;0,86;;;0,86;;;;
Least Developed Countries Fund (LDCF);Multilateral;Equatorial Guinea;Sub-Saharan Africa;Upper middle income;Preparation of National Adaptation Plan of Action (NAPA) in response to Climate Change in Equatorial Guinea;Adaptation;Unallocated / Unspecified;DAC998_;Environmental Research;NAPA;UNDP;Ministry of Fisheries and Environment;;2012;2016;;0,2;;;0,2;0,2;;;
Adaptation Fund (AF);Multilateral;Eritrea;Sub-Saharan Africa;Low income;Climate Change Adaptation Programme In Water And Agriculture In Anseba Region, Eritrea;Adaptation;Agriculture;DAC311_;Environmental policy and administrative management;Water, agriculture, climate information;UNDP;Ministry of Agriculture, Anseba Region;;2010;2017;;6,52;;;6,52;6,52;LDC;;FCAS
Global Environment Facility (GEF6);Multilateral;Eritrea;Sub-Saharan Africa;Low income;Restoring Degraded Forest Landscapes and Promoting Community?based, Sustainable and Integrated Natural Resource Management in the Rora Habab Plateau, Nakfa Sub-zoba, Northern Red Sea Region of Eritrea;Multiple Foci;Forestry;DAC312_;Forestry/ Resource Management;forest landscapes, natural resource management;UNDP;Implementing Partner: Ministry of Land, Water and EnvironmentResponsible Parties: Ministry of AgricultureMinistry of Local Government ñ Department of Agriculture and LandNorthern Red Sea Zoba;;2017;;;8,26;;;8,26;;LDC;;FCAS
Least Developed Countries Fund (LDCF);Multilateral;Eritrea;Sub-Saharan Africa;Low income;Mainstreaming Climate Risk Considerations in Food Security and IWRM in Tsilima Plain;Adaptation;Other Multisector;DAC430_;Environmental policy and administrative management;Food security, Water management;UNDP;Mainstreaming Climate Risk Considerations in Food Security and IWRM in Tsilima Plain;;2014;;;9,05;;;9,05;;LDC;;FCAS
Least Developed Countries Fund (LDCF);Multilateral;Eritrea;Sub-Saharan Africa;Low income;Development of a National Adaptation Program of Action (NAPA) ;Adaptation;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;NAPA;UNDP;Department of Environment;;2003;2007;;0,2;;;0,2;0,2;LDC;;FCAS
Adaptation for Smallholder Agriculture Programme (ASAP+);Multilateral;Brazil;Latin America & Caribbean;Upper middle income;Promotion of PES for deforestation-free supply chains in Brazil (CompensACTION Brazil);Adaptation;Agriculture;DAC311_;Agricultural development;;;;;2024;2028;;4,39;;;4,39;0,35;;;
Adaptation for Smallholder Agriculture Programme (ASAP+);Multilateral;Chad;Sub-Saharan Africa;Low income;Strengthening Productivity and Resilience of Agropastoral family Farms Project (RePER);Adaptation;Agriculture;DAC311_;Agricultural development;;;;;2020;;;7;;;7;0,58;LDC;;FCAS
Adaptation for Smallholder Agriculture Programme (ASAP+);Multilateral;Lesotho;Sub-Saharan Africa;Lower middle income;Regeneration of Landscapes and Livelihoods (ROLL);Adaptation;Agriculture;DAC311_;Agricultural development;nutrition, rural communities;;;;2021;2029;;4,39;;;4,39;0;LDC;;
Adaptation for Smallholder Agriculture Programme (ASAP+);Multilateral;Malawi;Sub-Saharan Africa;Low income;Programme for Rural Irrigation Development (PRIDE);Adaptation;Agriculture;DAC311_;Agricultural development;food insecurity, resilience;;;;2015;2026;;7;;;7;1,3;LDC;;
Adaptation for Smallholder Agriculture Programme (ASAP+);Multilateral;Niger;Sub-Saharan Africa;Low income;Family Farming Development Programme in the Diffa Region (ProDAF-Diffa);Adaptation;Agriculture;DAC311_;Agricultural development;;;;;2019;;;7;;;7;0;LDC;;
Adaptation for Smallholder Agriculture Programme (ASAP+);Multilateral;Somalia;Sub-Saharan Africa;Low income;Adaptive Agriculture and Rangeland Rehabilitation Project (A2R2) ;Adaptation;Agriculture;DAC311_;Agricultural policy and administrative management;;;;;2024;;;7;;;;;LDC;;FCAS
Adaptation for Smallholder Agriculture Programme (ASAP+);Multilateral;Yemen;Middle East & North Africa;Low income;Rural Livelihood Development Project (RLDP);Adaptation;Agriculture;DAC311_;Agricultural development;;;;;2024;;;7;;;;;LDC;;FCAS
Adaptation for Smallholder Agriculture Programme (ASAP+);Multilateral;Burkina Faso;Sub-Saharan Africa;Low income;Programme to Strengthen Smallholder Resilience to Climate Change (PSSRC);Adaptation;Agriculture;DAC311_;Agricultural development;disabililites, IDP, vulnerable people;;;;2023;2032;;7;;;7;;LDC;;
Adaptation for Smallholder Agriculture Programme (ASAP+);Multilateral;Ethiopia;Sub-Saharan Africa;Low income;Participatory Agriculture and Climate Transformation Programme;Adaptation;Agriculture;DAC311_;Agricultural development;agribusiness, rural households;Governments;;;2022;2029;;10,5;;;10,5;0,74;LDC;;
Adaptation for Smallholder Agriculture Programme (ASAP);Multilateral;Ethiopia;Sub-Saharan Africa;Low income;Participatory Small-scale Irrigation Development Programme II (PASDIP2);Adaptation;Agriculture;DAC311_;Agricultural water resources;;Governments;;;2016;;;11;;;11;10,8;LDC;;
Adaptation Fund (AF);Multilateral;Ethiopia;Sub-Saharan Africa;Low income;Climate Smart Integrated Rural Development Project ;Adaptation;General Environment Protection;DAC410_;Environmental policy and administrative management;;Ministry of Finance and Economic Cooperation (MOFEC);"Ministry of Agriculture and Natural Resources; Ministry of Livestock and Fisheries Development; Ministry of Water, Irrigation and Electricity; Ministry of Environment, Forests, and Climate Change";;2017;2020;;9,99;;;9,99;9,99;LDC;;
BioCarbon Fund Initiative for Sustainable Forest Landscapes (BioCarbon Fund†ISFL);Multilateral;Ethiopia;Sub-Saharan Africa;Low income;The Oromia Forested Landscape Program (OFLP);Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;Forestry;World Bank;Oromia Environmental Protection Authority;;2015;2030;;18,75;;;18,75;18,33;LDC;;
Clean Technology Fund (CTF);Multilateral;Ethiopia;Sub-Saharan Africa;Low income;DPSP III: Tulu Moyo 50MW Geothermal Power Plant;Mitigation - General;Energy generation, renewable sources;DAC232_;Geothermal energy;;AfDB;Private sector;;2020;;10;;;;10;;LDC;;
BioCarbon Fund Initiative for Sustainable Forest Landscapes (BioCarbon Fund†ISFL);Multilateral;Ethiopia;Sub-Saharan Africa;Low income;The Oromia Forested Landscape Program (OFLP): ERPA Phase 1;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;Forestry, ERPA;World Bank;Oromia Environmental Protection Authority;;2023;2030;;15;;;15;0;LDC;;
Forest Carbon Partnership Facility - Readiness Fund (FCPF-RF);Multilateral;Ethiopia;Sub-Saharan Africa;Low income;Readiness Fund Grant;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;;IBRD;Environmental Protection Authority of Ethiopia;National Government;2012;2012;;3,8;;;3,8;3,8;LDC;;
Global Climate Change Alliance (GCCA);Multilateral;Ethiopia;Sub-Saharan Africa;Low income;Ethiopia Global Climate Change Alliance (GCCA-E): Building the national capacity and knowledge on climate change resilient actions;Adaptation;General environment protection;DAC410_;Environmental policy and administrative management;;GIZ;;;2010;2016;;10,8;;;10,8;10,8;LDC;;
Global Environment Facility (GEF5);Multilateral;Ethiopia;Sub-Saharan Africa;Low income;Promoting Sustainable Rural Energy Technologies (RETs) for Household and Productive Uses;Mitigation - General;Energy generation, renewable sources;DAC232_;Power generation/renewable sources;;UNDP;Environment Protection Authority (EPA), Ministry of Water and Energy, Ethiopian Rural Energy Development and Promotion Centre;National Government;2013;;;4,09;;;4,09;;LDC;;
Global Environment Facility (GEF6);Multilateral;Ethiopia;Sub-Saharan Africa;Low income;Ethiopian Urban NAMA: Creating Opportunities for Municipalities to Produce and Operationalise Solid Waste Transformation (COMPOST) ;Mitigation - General;Water Supply & Sanitation;DAC140_;Waste management;;UNDP;Ministry of Urban Development, Housing and Construction (MUDHCo);;2015;;;6,67;;;6,67;6,67;LDC;;
